RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	ADM2	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME	FULL_NAME	FULL_NAME_ND	MODIFY_DATE
1	-2648004	-3656184	63.683333	-19.666667	634100	-194000	27VWL6595062416	NP27-02	L	GRAZ		IC	23					N				JOKULTUNGUR	Jökultungur	Jokultungur	1994-01-14
1	-2651163	-3659630	65.816667	-14.816667	654900	-144900	28WET0838199488	NQ27-12	T	PT		IC	20					N				NYPSKROKUR	Nýpskrókur	Nypskrokur	1994-01-14
1	-2651151	-3659615	63.7	-18.3	634200	-181800	27VXL3344766405	NP27-02	T	LAVA		IC	37					N				NYJAELDHRAUN	Nýja Elðraun	Nyja Eldhraun	1994-01-14
1	-2650898	-3659321	65.15	-20.75	650900	-204500	27WWN1172325195	NQ27-10	S	FRM		IC	35					N				NEDHRINUPUR	Neðri-Núpur	Nedhri-Nupur	1994-01-14
1	-2650880	-3659301	65.85	-22.35	655100	-222100	27WVP3837203853	NQ27-09	S	FRM		IC	19					N				NEDHRIBAKKI	Neðri-Bakki	Nedhri-Bakki	1994-01-14
1	-2655035	-3663959	65.65	-14.466667	653900	-142800	28WET2453781003	NQ27-12	S	FRM		IC	20					N				TORFASTADHIR	Torfastaðir	Torfastadhir	1994-01-14
1	-2641236	-3648679	63.616667	-20.383333	633700	-202300	27VWL3057554447	NP27-02	H	STM		IC	23					N				AFFALL	Affall	Affall	1994-01-14
1	-2641224	-3648667	66.083333	-16.433333	660500	-162600	28WDU3516329940	NQ27-07	S	FRM		IC	21					N				AERLAEKUR	Ærlækur	AErlaekur	1994-01-14
1	-2644320	-3652109	65.55	-17.05	653300	-170300	28WDT0533471295	NQ27-11	H	BOG		IC	32					N				FRAMENGJAR	Framengjar	Framengjar	1994-01-14
1	-2643363	-3651049	63.933333	-21.316667	635600	-211900	27VVL8447489624	NP27-01	S	FRM		IC	03					N				EFRIGRIMSLAEKUR	Efri-Grímslækur	Efri-Grimslaekur	1994-01-14
1	-2643792	-3651531	65.8	-19.683333	654800	-194100	27WWN6022398249	NQ27-10	S	FRM		IC	28					N				FAGRANES	Fagranes	Fagranes	1994-01-14
1	-2644936	-3652787	65.8	-18.683333	654800	-184100	27WXN0594999572	NQ27-11	T	PK		IC	09					V				GLOPPUHNUKUR	Gloppuhnúkur	Gloppuhnukur	1994-01-14
1	-2644673	-3652499	64.916667	-14.766667	645500	-144600	28WES1103799188	NQ27-16	T	VAL		IC	31					N				GEITDALUR	Geitdalur	Geitdalur	1994-01-14
1	-2649238	-3657513	65.3	-15.566667	651800	-153400	28WDT7357842008	NQ27-12	T	VAL		IC	20					N				LAEKJADALUR	Lækjadalur	Laekjadalur	1994-01-14
1	-2655403	-3664357	65.633333	-21.966667	653800	-215800	27WVN5549979383	NQ27-10	V	HTH		IC	00					N				VADHALFJALLAHEIDHI	Vaðalfjallaheiði	Vadhalfjallaheidhi	1994-01-14
